,age,window,PC,region,sample,sex,RIN,i,symbol,fit,upper,lower
9600,56.0,prenatal,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,-0.020108175814133,0.169952235383626,-0.210168587011892
9601,130.472361809045,prenatal,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,-0.0170611956874096,0.172730247997639,-0.206852639372458
9602,204.94472361809,prenatal,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,-0.0140102551241064,0.17559805973744103,-0.20361856998565397
9603,279.417085427136,prenatal,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,-0.0109548990056965,0.178551583057057,-0.20046138106845002
9604,353.889447236181,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,-0.00789669828275887,0.181585400310316,-0.19737879687583398
9605,428.361809045226,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,-0.00483724851451164,0.184694791356988,-0.194369288386011
9606,502.834170854271,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,-0.00177814526017315,0.18787545148345197,-0.19143174200379898
9607,577.3065326633171,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.00127901592103835,0.191123225336615,-0.18856519349453799
9608,651.778894472362,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.00433263946990461,0.19443388047862697,-0.185768601538818
9609,726.251256281407,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0073811298272073705,0.197802922167835,-0.18304066251342002
9610,800.723618090452,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0104228914337283,0.20122545038008102,-0.180379667512624
9611,875.195979899498,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0134563287302492,0.204696059518091,-0.17778340205759197
9612,949.6683417085429,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0164798461575518,0.208208780718014,-0.17524908840291
9613,1024.14070351759,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0194918481564178,0.21175706616679502,-0.172773369853959
9614,1098.61306532663,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0224907402184601,0.215333816855619,-0.17035233641869899
9615,1173.08542713568,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0254752694976478,0.21893228722232397,-0.16798174822702802
9616,1247.55778894472,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0284450142731375,0.22254767718802,-0.165657648641745
9617,1322.03015075377,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0313996767853338,0.22617579451734804,-0.16337644094668
9618,1396.5025125628101,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0343389592746417,0.22981277135769895,-0.16113485280841502
9619,1470.97487437186,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.037262563981466004,0.23345504919873003,-0.158929921235798
9620,1545.4472361809,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0401701931462116,0.237099363289452,-0.156758976997028
9621,1619.91959798995,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0430615490092834,0.24074272673835,-0.15461962871978302
9622,1694.391959799,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.045936333811086,0.24438241448752301,-0.152509746865351
9623,1768.8643216080397,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0487942497920245,0.24801594732031,-0.150427447736261
9624,1843.33668341709,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0516349991925036,0.251641076033621,-0.148371077648614
9625,1917.8090452261301,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0544582842529282,0.25525576588113896,-0.14633919737528303
9626,1992.28140703518,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.05726380721370299,0.258858181371679,-0.14433056694427301
9627,2066.75376884422,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0600512703152331,0.262446671488151,-0.142344130857685
9628,2141.22613065327,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0628203757979231,0.266019755376453,-0.140379003780607
9629,2215.6984924623102,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.065570825902178,0.269576108540105,-0.13843445673574897
9630,2290.17085427136,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0683023228684026,0.273114549565142,-0.136509903828337
9631,2364.6432160804,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0710145689370017,0.27663402739054,-0.13460488951653699
9632,2439.11557788945,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0737072663483801,0.28013360913193297,-0.132719076435173
9633,2513.58793969849,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0763801173429428,0.28361246846040195,-0.130852233774516
9634,2588.06030150754,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0790328241610946,0.28706987453343796,-0.12900422621124902
9635,2662.53266331658,postnata,-0.0304838761712906,MD,HSB103,M,8.82784184514004,49,ALK,0.0816650890432402,0.29050518147157395,-0.127175003385093
